mode,tick_id,tick_latency_s,mean_zone_latency_s,max_zone_latency_s,max_mean_latency_ratio,completed_before_finalize,fallback_count,policy_reason
async,0,9.946525283000483,2.788700021483237e-05,2.788700021483237e-05,1.0,0,5,timeout
async,1,0.29552110900021944,2.0991999917896464e-05,2.0991999917896464e-05,1.0,1,5,timeout
async,2,0.3558816479999223,2.628474999255559e-05,3.487899994070176e-05,1.3269671558824128,4,2,timeout
async,3,0.2236965699994471,3.008383343209668e-05,4.323599932831712e-05,1.4371838424749517,6,0,completion_fraction
async,4,0.2758576490004998,0.004518645999996807,0.022484635999717284,4.975967579609727,5,1,completion_fraction
async,5,0.3133285990006698,0.00047732099968319136,0.0013842869993823115,2.9001175316005243,3,3,timeout
async,6,0.33304051699997217,2.850499959095032e-05,3.18729998980416e-05,1.1181547221688275,2,4,timeout
async,7,0.2885237219998089,2.3224999677040614e-05,2.7705999855243135e-05,1.1929386540587243,2,1,timeout
async,8,0.2647543830007635,2.470833320937042e-05,3.176100017299177e-05,1.285436775676422,5,0,completion_fraction
async,9,0.3496688160003032,2.374466627467579e-05,2.7934999707213137e-05,1.1764747242207583,2,3,timeout
async,10,0.29060659000060696,0.0001432245001069532,0.000505181000335142,3.5271968131003915,4,2,timeout
async,11,0.2712099770005807,2.338820013392251e-05,3.044200002477737e-05,1.3015965251906645,5,1,completion_fraction
async,12,0.265339780999966,2.5768249997781822e-05,3.5834000300383195e-05,1.3906260729179456,4,2,timeout
async,13,0.2782209739998507,2.8087249802410952e-05,3.587499941204442e-05,1.2772699236991505,4,2,timeout
async,14,0.2881419579998692,2.6159000299230684e-05,2.6159000299230684e-05,1.0,1,5,timeout
async,15,0.12650951100022212,2.6255833442216197e-05,4.085000000486616e-05,1.5558447266497475,6,0,completion_fraction
async,16,0.27214180400005716,2.5243749860237585e-05,3.1783999475010205e-05,1.259083917840369,4,2,timeout
async,17,0.26052020199949766,2.4382749643336865e-05,2.681299974938156e-05,1.0996708796831212,4,2,timeout
async,18,0.2886648529993181,2.343466682456589e-05,2.4998000299092382e-05,1.0667102923301515,3,3,timeout
async,19,0.3587226589997954,2.4682999992364785e-05,2.850500004569767e-05,1.154843416704418,2,4,timeout
async,20,0.30302199200014,2.4051000082181417e-05,2.5058000574063044e-05,1.041869381249875,4,2,timeout
async,21,0.36904040599984,2.2080000235291664e-05,2.2080000235291664e-05,1.0,0,5,timeout
async,22,0.4113237339997795,3.1553000098938355e-05,3.2732000363466796e-05,1.0373657104183924,1,4,timeout
async,23,0.3134539130005578,2.3525500182586256e-05,2.4014000700844917e-05,1.0207647240002256,2,4,timeout
async,24,0.31089016100031586,0.0003243966669591221,0.0009258279997084173,2.8539997293655386,2,3,timeout
async,25,0.34099456099920644,2.2048499886295758e-05,2.5938000362657476e-05,1.1764065807841755,4,2,timeout
async,26,0.33076097599951026,2.5067000024137087e-05,2.6099000024260022e-05,1.041169665262266,2,4,timeout
async,27,0.2711891190001552,2.6798000362759922e-05,3.06290003209142e-05,1.1429584262368346,3,3,timeout
async,28,0.3173515380003664,2.9895999432483222e-05,2.9895999432483222e-05,1.0,1,5,timeout
async,29,0.14861994100010634,2.1408999782579485e-05,2.4355999812541995e-05,1.1376523919795865,5,1,completion_fraction
async,30,0.2922141700000793,2.0694999875559006e-05,2.0694999875559006e-05,1.0,1,5,timeout
async,31,0.288302036999994,2.5647999791544862e-05,2.8978000045754015e-05,1.129834695932387,3,3,timeout
async,32,0.26285703600024135,2.5877000553009566e-05,2.5877000553009566e-05,1.0,1,5,timeout
async,33,0.3148719319997326,2.3977250066309352e-05,2.749600025708787e-05,1.146753701156195,4,2,timeout
async,34,0.2674237049996009,2.915424965976854e-05,3.213199943274958e-05,1.102137760626033,4,2,timeout
async,35,0.14802042700011953,2.304700016490339e-05,2.5101000574068166e-05,1.0891222456054244,5,0,completion_fraction
async,36,0.2699371210001118,4.578000039145991e-05,9.892100024444517e-05,2.160790725176545,4,2,timeout
async,37,0.2681559720003861,2.8658750125032384e-05,3.756100068130763e-05,1.3106294069851796,4,2,timeout
async,38,0.3019321060000948,2.2391000129573513e-05,2.6014000468421727e-05,1.1618060969980095,2,4,timeout
async,39,0.27079196499926184,2.5643000299169216e-05,3.0825000067125075e-05,1.2020824282454867,1,4,timeout
async,40,0.2663035499999751,2.2508500023832312e-05,2.539100023568608e-05,1.1280627411334267,4,2,timeout
async,41,0.27715552000063326,2.0805000531254336e-05,2.0805000531254336e-05,1.0,1,5,timeout
async,42,0.15305379799974617,2.7936600054090378e-05,5.116699958307436e-05,1.8315399685003066,5,1,completion_fraction
async,43,0.1276225430001432,2.277283329021884e-05,2.4742000277910847e-05,1.086470004087624,6,0,completion_fraction
async,44,0.32832573799987586,2.8973250209674006e-05,5.2970000069763046e-05,1.8282381053706105,4,2,timeout
async,45,0.3541413439997996,2.194466651417315e-05,2.299900006619282e-05,1.048045093386984,3,3,timeout
async,46,0.3135031660003733,3.4480250178603455e-05,3.888700030074688e-05,1.1278050506976312,2,2,timeout
async,47,0.43341991800025426,2.3925500045152148e-05,2.5229000129911583e-05,1.054481623468662,2,4,timeout
